filename,orientation,si_axis_true,axis_mismatch,recorded_shape_z,true_shape_z,recorded_extent_z_mm,true_extent_z_mm,recorded_fov,true_fov
20251028215-1.nii.gz,LPS,2,False,92,92,460.0,460.0,extended,extended
20251028218-1.nii.gz,LPS,2,False,91,91,455.0,455.0,extended,extended
20251028220-1.nii.gz,LPS,2,False,88,88,440.0,440.0,extended,extended
20251028223-1.nii.gz,LPS,2,False,110,110,550.0,550.0,extended,extended
20251028224-1.nii.gz,LPI,2,False,44,44,220.0,220.0,abdomen-only,abdomen-only
20251028225-1.nii.gz,LPS,2,False,101,101,505.0,505.0,extended,extended
20251028226-1.nii.gz,LPS,2,False,89,89,490.51135,490.51135,extended,extended
20251028227-1.nii.gz,LPS,2,False,101,101,505.0,505.0,extended,extended
20251028229-1.nii.gz,LPS,2,False,36,36,180.0,180.0,abdomen-only,abdomen-only
20251028230-1.nii.gz,LIP,1,True,40,512,200.0,443.93124,abdomen-only,extended
20251028231-1.nii.gz,LPS,2,False,123,123,615.0,615.0,extended,extended
20251028232-1.nii.gz,LPS,2,False,96,96,480.0,480.0,extended,extended
20251028233-1.nii.gz,LPS,2,False,95,95,475.0,475.0,extended,extended
20251028235-1.nii.gz,LIP,1,True,56,646,280.0,504.79996,abdomen-only,extended
20251028236-1.nii.gz,LIP,1,True,39,512,194.82553,479.86093,abdomen-only,extended
20251028238-1.nii.gz,LPS,2,False,116,116,580.0,580.0,extended,extended
20251028241-1.nii.gz,LPS,2,False,94,94,470.4045,470.4045,extended,extended
20251028242-1.nii.gz,LPI,2,False,99,99,580.2613,580.2613,extended,extended
20251028246-1.nii.gz,LPI,2,False,63,63,315.0,315.0,abdomen-only,abdomen-only
20251028249-1.nii.gz,LIP,1,True,45,512,225.0,484.65158,abdomen-only,extended
20251028254-1.nii.gz,LIP,1,True,48,684,240.0,479.5,abdomen-only,extended
20251028255-1.nii.gz,LPI,2,False,99,99,495.0,495.0,extended,extended
20251028257-1.nii.gz,LPS,2,False,99,99,495.0,495.0,extended,extended
20251028258-1.nii.gz,LAS,2,False,105,105,525.0,525.0,extended,extended
20251028259-1.nii.gz,LPI,2,False,102,102,510.0,510.0,extended,extended
20251028261-1.nii.gz,LPS,2,False,105,105,525.0,525.0,extended,extended
20251028262-1.nii.gz,LPI,2,False,79,79,395.0,395.0,extended,extended
20251028265-1.nii.gz,LPS,2,False,114,114,570.0,570.0,extended,extended
20251028270-2.nii.gz,LIP,1,True,40,810,200.0,600.80005,abdomen-only,extended
20251028271-1.nii.gz,LIP,1,True,45,768,225.0,538.9017,abdomen-only,extended
20251028272-1.nii.gz,LPS,2,False,113,113,565.0,565.0,extended,extended
20251028274-1.nii.gz,LPS,2,False,109,109,545.0,545.0,extended,extended
20251028276-1.nii.gz,LPS,2,False,34,34,170.0,170.0,abdomen-only,abdomen-only
20251028278-1.nii.gz,LAS,2,False,115,115,575.0,575.0,extended,extended
20251028280-1.nii.gz,LPI,2,False,93,93,465.0,465.0,extended,extended
20251028281-1.nii.gz,LPS,2,False,85,85,541.3691,541.3691,extended,extended
20251028283-1.nii.gz,LIP,1,True,42,512,210.0,474.27188,abdomen-only,extended
20251028284-1.nii.gz,LPS,2,False,44,44,506.51163,506.51163,extended,extended
20251028285-1.nii.gz,LIP,1,True,48,760,240.0,554.4,abdomen-only,extended
20251028291-1.nii.gz,LAS,2,False,93,93,465.0,465.0,extended,extended
20251028294-1.nii.gz,LPS,2,False,97,97,485.0,485.0,extended,extended
20251028301-1.nii.gz,LIP,1,True,40,512,200.0,479.86093,abdomen-only,extended
20251028303-1.nii.gz,LPS,2,False,102,102,510.0,510.0,extended,extended
20251028305-1.nii.gz,LPS,2,False,110,110,550.0,550.0,extended,extended
20251028306-1.nii.gz,LIP,1,True,40,512,200.0,467.08594,abdomen-only,extended
20251028310-1.nii.gz,LAS,2,False,94,94,470.0,470.0,extended,extended
20251028312-1.nii.gz,LPS,2,False,121,121,605.0,605.0,extended,extended
20251028316-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028317-1.nii.gz,LPS,2,False,106,106,530.0,530.0,extended,extended
20251028318-1.nii.gz,LPS,2,False,105,105,525.0,525.0,extended,extended
20251028320-1.nii.gz,LPS,2,False,103,103,515.0,515.0,extended,extended
20251028323-1.nii.gz,LIP,1,True,43,512,215.0,514.1937,abdomen-only,extended
20251028324-1.nii.gz,LPS,2,False,109,109,545.0,545.0,extended,extended
20251028326-1.nii.gz,LIP,1,True,38,512,190.0,504.61252,abdomen-only,extended
20251028328-1.nii.gz,LIP,1,True,37,588,185.0,411.6,abdomen-only,extended
20251028331-1.nii.gz,LAS,2,False,113,113,565.0,565.0,extended,extended
